cafe_id,sentence,features
C001,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간
C001,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간
C001,주차한적은 없지만 주차도 편하겠네요~~,조용함
C004,위에 인절미 떡도 적지 않게 올라가 있어서 인절미와 쑥의 조화를 오래 느낄 수 있고 아이스크림 자체도 맛있어요 처음에 손에 잡았을 때는 컵이 작지도 크지도 않았는데 먹다보니까 양이 꽤 많았어요 이거 진심 매일 먹고 싶다,체류적합성
C007,조용하고 편해서 자주가요,조용함
C007,오랜만에 방문했는데 여전히 브라운 리퀴드만의 분위기가 느껴져서 좋았어요☺️ 차분하고 따뜻한 곳이라 있다보면 힐링돼요,조용함
C007,ㅎㅎ 조용해서 스몰톡하기 좋고 책 읽기도 좋늘 것 같아요,"조용함,공부적합성"
C007,사장님 오래오래 운영해주세요♡,체류적합성
C011,역시 가성비 좋은 더벤티 ~ 가성비 좋은 카페찾는다면 이곳만한곳이없죠 테이블도 적당히 있고 청결상태가 너무좋은것같네요~ 굿굿,좌석
C011,"커피 양도 많고, 진하고 향이 훌륭합니다^^👍 아침이라 그런지 조용하고 쾌적해서 기분이 좋았어요",조용함
C014,실내에 손님 분들이 많지 않아서 시간 보내기에 좋았지만 그래도 통창 자리는 앉기 어려웠어요,좌석
C014,공부하거나 집중하는 일보다 이야기 나누는 시간으로 방문을 추천합니다,"조용함,공부적합성"
C015,와플때문인지 너무 오래 걸렸어요,체류적합성
C017,이 점에서 비롯한 직원과 마감시간 바뀐지 모르고 온 손님의 입장차이도 있는거같아요,영업시간
C017,마감시간을 네이버에 바꾸시거나 입구에 공지해주시면  양쪽 모두에게 좋을꺼같아요,영업시간
C018,오래오래 번창하셨으면 합니다 ㅠ❤️❤️,체류적합성
C019,사장님 꼭 오래오래 가게 운영해주세요 💚❤️💚❤️,체류적합성
C019,"출산 후 몸조리를 제대로 못 하시면 오래 불편한 경우가 많은데, 오셔서 조금이라도 몸이 풀리고 편해지신다니 저희도 너무 뿌듯합니다",체류적합성
C019,앞으로도 편하게 쉬고 힐링하실 수 있는 공간으로 오래오래 함께할게요 ❤️,체류적합성
C019,맥반석 스팀 족욕은 건식 기계에 물을 넣어 따뜻한 스팀으로 즐기는 습식 족욕이라 온기가 오래 유지되는 매력이 있답니다🥰,체류적합성
C023,좌식 자리만 있는 게 아니라 테이블 자리도 있어서 오래 이용하기에도 편했고 무제한 이용권이 있어서 오래 있을 경우 가성비도 괜찮은 편이에요,"좌석,체류적합성"
