cafe_id,kakao_name,review_id,sentence_id,sentence,feature,predicted_sentiment,sentiment
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S02,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간,positive,positive
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S03,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간,positive,positive
C001,커스텀커피 역북점,C001_R0003,C001_R0003_S03,주차한적은 없지만 주차도 편하겠네요~~,조용함,positive,positive
C004,밀크팜747,C004_R0010,C004_R0010_S02,위에 인절미 떡도 적지 않게 올라가 있어서 인절미와 쑥의 조화를 오래 느낄 수 있고 아이스크림 자체도 맛있어요 처음에 손에 잡았을 때는 컵이 작지도 크지도 않았는데 먹다보니까 양이 꽤 많았어요 이거 진심 매일 먹고 싶다,체류 적합성,positive,positive
C006,달롱도르요거트아이스크림 역북점,C006_R0005,C006_R0005_S01,배달만 시키다가 근처갔다가 포장했어요 가격대비 양도 많고 맛있어요,가격대,positive,positive
C007,브라운리퀴드,C007_R0005,C007_R0005_S01,조용하고 편해서 자주가요,조용함,positive,positive
C007,브라운리퀴드,C007_R0006,C007_R0006_S01,오랜만에 방문했는데 여전히 브라운 리퀴드만의 분위기가 느껴져서 좋았어요☺️ 차분하고 따뜻한 곳이라 있다보면 힐링돼요,조용함,positive,positive
C007,브라운리퀴드,C007_R0006,C007_R0006_S02,ㅎㅎ 조용해서 스몰톡하기 좋고 책 읽기도 좋늘 것 같아요,조용함,positive,positive
C007,브라운리퀴드,C007_R0009,C007_R0009_S05,사장님 오래오래 운영해주세요♡,체류 적합성,neutral,neutral
C008,달다미로,C008_R0002,C008_R0002_S06,가격도 괜찮은데 조금만 산게 후회되요,가격대,positive,positive
